"automatic_water_benchmarking_eligible","bbl_on_the_covered_buildings_list","bbls_co_reported","bin","borough","census_tract","co_reported_bbl_status","community_board","council_district","direct_ghg_emissions_mtco2e","dof_benchmarking_submission_status","dof_number_of_buildings","dof_property_floor_area_buildngs_and_parking_ft2","energy_star_score","indirect_ghg_emissions_mtco2e","latitude","longitude","municipally_supplied_potable_water_indoor_intensity_gal_ft","nta","nyc_borough_block_and_lot_bbl","primary_property_type_self_selected","record_number","reported_nyc_building_identification_numbers_bins","reported_property_floor_area_building_s_ft","reported_water_method","site_eui_kbtu_ft2","source_eui_kbtu_ft2","street_name","street_number","total_ghg_emissions_mtco2e","weather_normalized_site_eui_kbtu_ft2","weather_normalized_source_eui_kbtu_ft2","zip_code"
"No","Yes",,,"QUEENS",,,,,"2392.3","In Compliance ","2","552840","77","997.8",,,"Not Available",,"4021330016","Multifamily Housing","4038832","4432046","574950","None","99.3","148","  66 ROAD           ","   102-10","3390.1","99.1","147.4","11375"
"No","Yes",,,"QUEENS",,,,,"1233.7","In Compliance ","8","132300","2","166.1",,,"Not Available",,"4076480002","Multifamily Housing","4390608","4459580","100000","None","185.6","230.4","HOR HARDING EP SR S ","   224-02","1399.8","185.5","230","11364"
"Yes","Yes",,,"QUEENS",,,,,"467.1","In Compliance ","1","202900","78","610",,,"18.22",,"4098150056","Office","2808028","4210062","177749","ABS","90.9","181.9","MERRICK BOULEVARD   ","    88-12","1077.1","88.2","179.1","11432"
"No","Yes",,,"QUEENS",,,,,"219.6","In Compliance ","1","163000","99","471",,,"Not Available",,"4041730010","Office","2810984","4099333","148000","None","35.9","54.3","128 STREET          ","    20-05","690.7","31.6","49.7","11356"
"Yes","Yes",,,"BRONX               ",,,,,"700.8","In Compliance ","1","186000","5","204.3",,,"Not Available",,"2032520117","Multifamily Housing","2817023","2015450","117520","None","126.9","176.5","SEDGWICK AVENUE     ","3960","905.1","123.2","172.2","10463"
"No","Yes",,,"QUEENS",,,,,"0","In Compliance ","1","62500","56","252",,,"Not Available",,"4024310023","Multifamily Housing","3927066","4056316","68750","None","44.2","138.8","  67 STREET         ","    46-01","252","43.2","135.7","11377"
"No","Yes",,"1024795","MANHATTAN","125",,"5","4","16.8","In Compliance ","1","561139","79","3935.4","40.760753","-73.983525","21.68","Midtown-Midtown South                                                      ","1010210026","Office","1721249","1024795","643301","Manual","78.6","203.3","   7 AVENUE         ","750","3952.1","76.8","201.4","10019"
"Yes","Yes",,,"QUEENS",,,,,"464.9","In Compliance ","1","75642","28","181",,,"Not Available",,"4015040001","Multifamily Housing","2729938","4037122","79424","None","137.7","202","HAMPTON STREET      ","    40-05","645.9","132.2","196.6","11373"
"Yes","Yes",,,"QUEENS",,,,,"1695.1","In Compliance ","1","313120","53","408.9",,,"Not Available",,"4014900018","Multifamily Housing","2729950","4036837","328776","None","112.1","149","  41 AVENUE         ","    79-11","2104","108.6","145.4","11373"
"No","Yes",,"1036473","MANHATTAN","100",,"6","4","0","In Compliance ","1","140400","63","760.8","40.75791","-73.969254","Not Available","Turtle Bay-East Midtown                                                    ","1013080033","Office","1846846","1036473","142235","None","66.6","188.6","   3 AVENUE         ","880","760.8","64.3","185.7","10022"
"Yes","Yes",,,"QUEENS",,,,,"372.1","In Compliance ","1","84611","58","97.6",,,"115.25",,"4098440110","Multifamily Housing","2665191","4210594","75894","ABS","107.8","145.6","KINGSTON PLACE      ","    87-50","469.7","104.9","142.6","11432"
"No","Yes",,"1027122","MANHATTAN","129",,"4","3","345.2","In Compliance ","1","153363","31","845","40.764317","-73.995784","56.76","Clinton                                                                    ","1010950035","Hotel","2734969","1027122","153363","Manual","108.8","253.1","  11 AVENUE         ","653","1190.2","106.4","249","10036"
"No","Yes",,"1063400","MANHATTAN","255",,"12","10","0","In Compliance ","1","213214","20","4573.1","40.842353","-73.943868","Not Available","Washington Heights South                                                   ","1021390017","Office","2741228","1063400","256013","None","253.4","426.7","RIVERSIDE DRIVE     ","1050","4573.1","246.9","419","10032"
"No","Yes",,"1015051","MANHATTAN","95",,"5","3","302.6","In Compliance ","1","117291","78","395.9","40.745782","-73.991847","Not Available","Midtown-Midtown South                                                      ","1008020056","Office","3108893","1015051","117291","None","74.9","162.4","WEST   27 STREET    ","122","698.5","70.1","158.3","10001"
"Yes","Yes",,"1012384","MANHATTAN","99",,"4","3","385.1","In Compliance ","1","214780","39","864.8","40.749065","-74.003183","11.17","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","1006970031","K-12 School","3893138","1012384","215000","Manual","82.2","187.7","  10 AVENUE         ","259","1249.9","80.7","186.4","10001"
"No","Yes",,"1001866","MANHATTAN","31",,"1","1","390.4","In Compliance ","1","137500","79","167.2","40.717849","-74.003182","Not Available","SoHo-TriBeCa-Civic Center-Little Italy                                     ","1001727501","Multifamily Housing","4495647","1001866","121689","None","77","115.5","BROADWAY            ","374","557.6","74.4","112.5","10013"
"No","Yes",,"1083026","MANHATTAN","101",,"5","3","0","In Compliance ","1","1560607","79","10263.2","40.750017","-73.991345","11.92","Midtown-Midtown South                                                      ","1007819002","Office","1273008","1083026","1654537","Manual","81.1","193.1","PENN PLAZA          ","2","10263.2","79.1","190.9","10001"
"No","Yes",,"1017595","MANHATTAN","82",,"6","4","31.6","In Compliance ","1","927829","55","7741.6","40.750504","-73.978865","26.51","Murray Hill-Kips Bay                                                       ","1008690034","Office","1273025","1017595","870877","Manual","118.2","269.6","PARK AVENUE         ","90","7773.2","116.8","267.9","10016"
"No","Yes",,,"QUEENS",,,,,"99.5","In Compliance ","1","202383","80","914.1",,,"Not Available",,"4018600102","Retail Store","1160897","Not Available","204340","None","63.1","179","  59 AVENUE         ","    92-59","1013.5","62.6","178.9","11373"
"No","Yes",,"1036228","MANHATTAN","92",,"6","4","104.1","In Compliance ","1","490020","79","2952.8","40.754669","-73.971619","15.35","Turtle Bay-East Midtown                                                    ","1013030033","Financial Office","1172592","1036228","487501","Manual","80.6","210.5","   3 AVENUE         ","776","3056.8","78.6","207.5","10017"
"No","Yes",,"1024895","MANHATTAN","137",,"5","4","1.1","In Compliance ","1","866359","64","7388.8","40.765015","-73.980416","32.38","Midtown-Midtown South                                                      ","1010280029","Office","1273033","1024895","848010","Manual","113.2","276.4","   7 AVENUE         ","888","7389.9","110.7","272.8","10019"
"No","Yes",,"1034532","MANHATTAN","104",,"5","4","0","In Compliance ","1","205020","77","1396.3","40.760703","-73.975634","Not Available","Midtown-Midtown South                                                      ","1012690041","Office","1273461","1034532","230193","None","80.4","181.8","   5 AVENUE         ","680","1396.3","77.1","177.6","10019"
"No","Yes",,"1010379","MANHATTAN","37",,"2","3","0","In Compliance ","1","907938","81","5887.4","40.728435","-74.007151","Not Available","SoHo-TriBeCa-Civic Center-Little Italy                                     ","1005990064","Office","1274618","1010379","1093934","None","67.4","187.5","HUDSON STREET       ","375","5887.4","66.1","185.9","10014"
"No","Yes",,,"QUEENS",,,,,"323.4","In Compliance ","2","484470","100","0",,,"1535.6",,"4093640010","Hospital (General Medical & Surgical)","1180593","4440535","131610","Manual","46.3","48.6","VAN WYCK EXPWY SR W ","    89-10","323.4","Not Available","Not Available","11418"
"No","Yes",,"1071414","MANHATTAN","96",,"5","4","0","In Compliance ","1","1529036","63","15118.2","40.757004","-73.982526","Not Available","Midtown-Midtown South                                                      ","1012617501","Office","1192662","1071414","1797825","None","115.1","228","AVENUE OF THE AMER  ","1166","15118.2","114.9","227.3","10036"
"No","Yes",,"1035471","MANHATTAN","102",,"5","4","0","In Compliance ","1","262287","97","980","40.758715","-73.974956","24.29","Midtown-Midtown South                                                      ","1012870021","Office","1210636","1035471","307384","Manual","41.1","103.2","MADISON AVENUE      ","477","980","Not Available","Not Available","10022"
"No","Yes",,"1036476","MANHATTAN","100",,"5","4","0","In Compliance ","1","136044","71","3499","40.759826","-73.972036","Not Available","Turtle Bay-East Midtown                                                    ","1013090001","Office","1211581","1036476","161427","None","77.1","188.8","PARK AVENUE         ","405","3499","Not Available","Not Available","10022"
"No","Yes",,"1088910","MANHATTAN","56",,"5","2","221.5","In Compliance ","1","1587500","90","15668.1","40.741617","-73.987449","21.96","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","1008547501","Office","1217055","Not Available","2613986","Manual","77.7","203.6","MADISON AVENUE      ","11","15889.6","76.2","201.9","10010"
"No","Yes",,"1086135","MANHATTAN","137",,"5","3","432.9","In Compliance ","1","200000","71","3642","40.765595","-73.982325","11.54","Midtown-Midtown South                                                      ","1010277504","Office","1230053","1086135;1024876","651851","Manual","79.9","224.7","WEST   56 STREET    ","230","4074.9","78.9","223.9","10019"
"No","Yes",,"1081239","MANHATTAN","116",,"8","5","0","In Compliance ","1","731550","Not Available","28370","40.765039","-73.957363","Not Available","Lenox Hill-Roosevelt Island                                                ","1014637501","Other","1230813","1045575","743935","None","511.9","1101.7","EAST   68 STREET    ","411","28370","503.3","1095.2","10065"
"No","Yes",,"1045570","MANHATTAN","116",,"8","5","0","In Compliance ","1","228637","Not Available","10736.4","40.763695","-73.958053","Not Available","Lenox Hill-Roosevelt Island                                                ","1014610013","Laboratory","1230818","1045570","327993","None","441.4","932.3","EAST   66 STREET    ","425","10736.4","432.1","922.7","10065"
"Yes","Yes",,,"MANHATTAN",,,,,"686.9","In Compliance ","1","71287","3","92.9",,,"77.33",,"1021340250","Multifamily Housing","2658551","1063279","71287","ABS","144.3","179.3","RIVERSIDE DRIVE WEST","   156-08","779.8","142.1","177","10032"
"No","Yes",,"1036147","MANHATTAN","80",,"6","4","0","In Compliance ","1","225000","88","1239.1","40.750245","-73.976909","4.56","Murray Hill-Kips Bay                                                       ","1012950023","Office","1423084","1036147","256272","Manual","61.9","159.7","LEXINGTON AVENUE    ","355","1239.1","59.4","157.1","10017"
"No","Yes",,"1000880","MANHATTAN","7",,"1","1","0","In Compliance ","1","1075808","57","9435.6","40.7066","-74.006633","14.67","Battery Park City-Lower Manhattan                                          ","1000390012","Office","1423089","1000880","1045088","Manual","121.7","257.7","MAIDEN LANE         ","110","9435.6","118.8","252.9","10005"
"No","Yes",,"1036482","MANHATTAN","100",,"6","4","0","In Compliance ","1","426775","61","3611.1","40.75903","-73.970321","12.79","Turtle Bay-East Midtown                                                    ","1013090023","Office","1423319","1036482","429866","Manual","114.5","231.5","LEXINGTON AVENUE    ","641","3611.1","112","228.1","10022"
"No","Yes",,"1036451","MANHATTAN","100",,"5","4","0","In Compliance ","1","345743","82","1733.9","40.756651","-73.972264","13.58","Turtle Bay-East Midtown                                                    ","1013050013","Office","1423551","1036451","328910","Manual","66.4","181.1","LEXINGTON AVENUE    ","560","1733.9","63.9","177.6","10022"
"No","Yes",,"1000821","MANHATTAN","9",,"1","1","0","In Compliance ","1","406025","65","3319.8","40.705189","-74.011505","21.34","Battery Park City-Lower Manhattan                                          ","1000250001","Office","1423560","1000821","410295","Manual","106.6","246.8","BROAD STREET        ","55","3319.8","104.6","243.8","10004"
"No","Yes",,"1000027","MANHATTAN","9",,"1","1","0","In Compliance ","1","321994","67","2606.4","40.703973","-74.013164","11.19","Battery Park City-Lower Manhattan                                          ","1000100023","Office","1423569","1000027","329991","Manual","106.8","223.3","WHITEHALL STREET    ","1","2606.4","103.9","219.9","10004"
"No","Yes",,"1038464","MANHATTAN","98",,"6","4","0","In Compliance ","1","321452","68","2698.7","40.756688","-73.970128","11.62","Turtle Bay-East Midtown                                                    ","1013250001","Office","1426392","1038464","342387","Manual","106.4","223.8","   3 AVENUE         ","845","2698.7","104.2","221.1","10022"
"No","Yes",,"1000021","MANHATTAN","9",,"1","1","0","In Compliance ","1","896956","46","8637.6","40.703446","-74.013092","9.92","Battery Park City-Lower Manhattan                                          ","1000090029","Office","1426421","1000021","859807","Manual","136.2","281","WHITEHALL STREET    ","24","8637.6","133.5","277.8","10004"
"No","Yes",,"1076267","MANHATTAN","102",,"5","4","62.2","In Compliance ","1","360000","82","3202.3","40.758323","-73.974722","18.31","Midtown-Midtown South                                                      ","1012870028","Office","1426638","1076267","370441","Manual","110.3","311.3","EAST   51 STREET    ","41","3264.6","108.4","309","10022"
"No","Yes",,"1083624","MANHATTAN","109",,"5","3","1475.8","In Compliance ","1","754487","80","3235.7","40.753612","-73.992417","23.93","Midtown-Midtown South                                                      ","1007860001","Office","1429866","1083624","814025","Manual","76","179.3","   8 AVENUE         ","520","4711.5","71.9","174.6","10018"
"No","Yes",,"1001026","MANHATTAN","7",,"1","1","110.9","In Compliance ","1","1736513","88","9763.2","40.708546","-74.011041","11.78","Battery Park City-Lower Manhattan                                          ","1000477501","Office","1439342","1001026","1910503","Manual","66.2","171.4","BROADWAY            ","120","9874.1","63.4","167.8","10005"
"No","Yes",,"1035365","MANHATTAN","94",,"5","4","0","In Compliance ","1","271266","76","1682.7","40.754467","-73.979455","Not Available","Midtown-Midtown South                                                      ","1012780069","Office","1439901","1035365","249187","None","85.3","230.4","   5 AVENUE         ","529","1682.7","82.9","228","10017"
"No","Yes",,"1086164","MANHATTAN","11202",,"5","4","0","In Compliance ","1","99381","44","871","40.762621","-73.973128","Not Available","Midtown-Midtown South                                                      ","1012930014","Office","1439975","1086164","100684","None","109.8","291.2","EAST   57 STREET    ","19","871","107.2","288","10022"
"No","Yes",,"1070014","MANHATTAN","137",,"5","3","75.5","In Compliance ","1","729506","1","2097121","40.765611","-73.982322","Not Available","Midtown-Midtown South                                                      ","1010287501","Multifamily Housing","1847014","1070014","616000","None","51265","61749.8","WEST   56 STREET    ","235","2097196.5","48382.1","58282","10019"
"No","Yes",,"1034202","MANHATTAN","96",,"5","4","1.2","In Compliance ","1","615000","83","3680.8","40.755651","-73.983516","Not Available","Midtown-Midtown South                                                      ","1012590001","Office","1856803","1034202","623044","None","79.5","169.3","AVENUE OF THE AMER  ","1120","3682","Not Available","Not Available","10036"
"Yes","Yes",,"1018123","MANHATTAN","68",,"5","2","716.7","In Compliance ","1","89311","25","568.4","40.742295","-73.984814","Not Available","Gramercy                                                                   ","1008820003","Office","2371576","1018123","104232","None","167.5","310.7","PARK AVENUE SOUTH   ","369","1285.1","164.1","307.9","10016"
"No","Yes",,"1010378","MANHATTAN","37",,"2","3","1495.1","In Compliance ","1","797477","71","5219","40.727439","-74.007313","Not Available","SoHo-TriBeCa-Civic Center-Little Italy                                     ","1005980058","Office","2379262","1010378","909266","None","97.8","247","HUDSON STREET       ","341","6714","96","245.2","10014"
"No","Yes",,"1077363","MANHATTAN","104",,"5","4","0","In Compliance ","1","520796","80","3092.2","40.762495","-73.975193","12.58","Midtown-Midtown South                                                      ","1012710038","Office","1501971","1077363","574857","Manual","68.6","178.8","   5 AVENUE         ","712","3092.2","67.3","177.4","10019"
"No","Yes",,,"MANHATTAN","102",,"5","4","142.1","In Compliance ","1","916586","74","6704.1","40.759838","-73.974165","12.98","Midtown-Midtown South                                                      ","1012890014","Financial Office","1231058","1035727","1027741","Manual","84.3","229.8","MADISON AVENUE      ","512","6846.1","Not Available","Not Available","10022"
"No","Yes",,"1001068","MANHATTAN","13",,"1","1","91.4","In Compliance ","1","2139035","84","19269","40.70943","-74.011102","15.24","Battery Park City-Lower Manhattan                                          ","1000627501","Office","1261446","1001068","2342856","Manual","107.6","261.3","LIBERTY PLAZA       ","1","19360.4","106.1","259.4","10006"
"No","Yes",,"1026318","MANHATTAN","145",,"4","3","1406","In Compliance ","1","2797249","Not Available","30398.8","40.768351","-73.982206","Not Available","Lincoln Square                                                             ","1010497501","Office","1261447","1026318","2722590","None","154.9","362.9","COLUMBUS CIRCLE     ","35","31804.9","Not Available","Not Available","10019"
"No","Yes",,"1000005","MANHATTAN","9",,"1","1","0.1","In Compliance ","1","2542563","61","28473.2","40.702444","-74.012742","18.99","Battery Park City-Lower Manhattan                                          ","1000047501","Office","1261451","1000005","2428325","Manual","149","358.8","WATER STREET        ","1","28473.3","149","358.8","10004"
"No","Yes",,"1036205","MANHATTAN","92",,"5","4","59.9","In Compliance ","1","1586886","77","14151.1","40.754826","-73.975683","15.78","Turtle Bay-East Midtown                                                    ","1013010001","Office","1261456","1036205","1592125","Manual","117.5","273.9","PARK AVENUE         ","245","14211","115.2","271.1","10017"
"No","Yes",,"1080824","MANHATTAN","119",,"5","4","0","In Compliance ","2","1039529","76","8112.3","40.755942","-73.983324","Not Available","Midtown-Midtown South                                                      ","1009960029","Office","1151970","1080824","977035","None","110.8","243.8","AVENUE OF THE AMER  ","1133","8112.3","108.7","241.2","10036"
"No","Yes",,"1085972","MANHATTAN","82",,"5","4","42.6","In Compliance ","1","1142417","79","10470.1","40.752236","-73.979712","1.86","Murray Hill-Kips Bay                                                       ","1012760058","Office","1261461","1085972","1071012","Manual","124.9","329.9","MADISON AVENUE      ","300","10512.8","122.9","328.1","10017"
